benchmark,index,co_kind,co_index,watch_aig,downstream_aig,requested_phase,stack_depth,via_downstream,parent_node,parent_aig_id,parent_phase,parent_is_downstream,phase0_action,phase1_action,phase0_has_cut,phase1_has_cut,phase0_cached,phase1_cached,phase0_gate,phase1_gate,path_aigs,path_nodes,path_phases
benchmarks/i10.aig,24,co,6,855,861,0,7,0,872,1034,0,0,cached,cached,1,1,1,1,NAND5xp2_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,1477>1471>1416>1402>1055>1034>855,1252>1250>1189>1181>879>872>612,0>0>0>1>1>0>0
benchmarks/i10.aig,26,co,18,855,861,0,2,0,1603,1828,1,0,cached,cached,1,1,1,1,NAND5xp2_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,1828>855,1603>612,1>0
benchmarks/ode.abc.blif,2,co,171,5219,5229,1,9,0,2432,5237,0,0,direct-cut,direct-cut,1,1,0,0,A2O1A1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,13061>8729>5612>5379>5367>5261>5238>5237>5219,10259>5927>2810>2574>2540>2464>2436>2432>2417,0>0>0>1>0>1>0>0>1
benchmarks/ode.abc.blif,4,co,171,5219,5229,1,9,0,2459,5259,0,0,direct-cut,cached,1,1,0,1,A2O1A1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,13061>8729>5612>5379>5367>5261>5260>5259>5219,10259>5927>2810>2574>2540>2464>2463>2459>2417,0>0>0>1>0>1>0>0>1
benchmarks/ode.abc.blif,6,co,171,5219,5229,1,10,0,2425,5227,0,0,direct-cut,cached,1,1,0,1,A2O1A1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,13061>8729>5612>5379>5367>5365>5283>5228>5227>5219,10259>5927>2810>2574>2540>2538>2484>2426>2425>2417,0>0>0>1>0>1>0>0>0>1
benchmarks/ode.abc.blif,8,co,171,5219,5229,1,10,1,2427,5229,0,1,direct-cut,cached,1,1,0,1,A2O1A1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,13061>8729>5612>5379>5367>5365>5283>5231>5229>5219,10259>5927>2810>2574>2540>2538>2484>2429>2427>2417,0>0>0>1>0>1>0>0>0>1
benchmarks/ode.abc.blif,10,co,171,5219,5229,1,10,0,2438,5243,0,0,direct-cut,cached,1,1,0,1,A2O1A1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,13061>8729>5612>5379>5367>5365>5323>5244>5243>5219,10259>5927>2810>2574>2540>2538>2513>2442>2438>2417,0>0>0>1>0>1>0>0>0>1
benchmarks/ode.abc.blif,12,co,171,5219,5229,1,10,0,2422,5224,1,0,direct-cut,cached,1,1,0,1,A2O1A1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,13061>8729>5612>5379>5367>5365>5323>5250>5224>5219,10259>5927>2810>2574>2540>2538>2513>2448>2422>2417,0>0>0>1>0>1>0>0>1>1
benchmarks/ode.abc.blif,14,co,171,5219,5229,1,11,0,2439,5239,0,0,direct-cut,cached,1,1,0,1,A2O1A1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,13061>8729>5612>5379>5274>5254>5252>5251>5244>5239>5219,10259>5927>2810>2574>2565>2452>2450>2449>2442>2439>2417,0>0>0>1>1>1>0>1>1>0>1
benchmarks/ode.abc.blif,16,co,171,5219,5229,1,10,0,2446,5246,0,0,direct-cut,cached,1,1,0,1,A2O1A1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,13061>8729>5612>5379>5274>5270>5267>5250>5246>5219,10259>5927>2810>2574>2565>2493>2453>2448>2446>2417,0>0>0>1>1>1>0>1>0>1
benchmarks/ode.abc.blif,18,co,171,5219,5229,1,10,0,2460,5255,0,0,direct-cut,cached,1,1,0,1,A2O1A1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,13061>8729>5612>5379>5377>5326>5261>5260>5255>5219,10259>5927>2810>2574>2572>2531>2464>2463>2460>2417,0>0>0>1>1>1>0>1>0>1
benchmarks/or1200.abc.blif,1,co,428,11491,13829,0,1,0,-1,-1,-1,0,direct-cut,inverter-from-opposite,1,0,0,0,A2O1A1Ixp33_ASAP7_75t_L,?,11491,9641,0
benchmarks/or1200.abc.blif,3,co,607,11491,13829,0,26,1,11983,13829,1,1,cached,inverter-from-opposite,1,0,1,0,A2O1A1Ixp33_ASAP7_75t_L,?,14036>14016>14003>13994>13987>13983>13981>13970>13963>13953>13947>13939>13933>13922>13917>13909>13898>13891>13880>13873>13863>13857>13849>13843>13829>11491,12186>12168>12153>12145>12137>12132>12131>12121>12113>12102>12096>12089>12083>12073>12066>12059>12049>12041>12031>12023>12012>12006>11999>11993>11983>9641,0>0>1>0>1>1>0>0>1>1>0>1>0>1>0>1>1>1>0>1>1>0>0>0>1>0
benchmarks/or1200.abc.blif,5,co,607,11491,13829,0,27,0,11982,13833,0,0,cached,inverter-from-opposite,1,0,1,0,A2O1A1Ixp33_ASAP7_75t_L,?,14036>14016>14003>13994>13987>13983>13981>13970>13963>13953>13947>13939>13933>13922>13917>13909>13898>13891>13880>13873>13863>13857>13849>13843>13842>13833>11491,12186>12168>12153>12145>12137>12132>12131>12121>12113>12102>12096>12089>12083>12073>12066>12059>12049>12041>12031>12023>12012>12006>11999>11993>11990>11982>9641,0>0>1>0>1>1>0>0>1>1>0>1>0>1>0>1>1>1>0>1>1>0>0>0>0>0>0
benchmarks/or1200.abc.blif,7,co,607,11491,13829,0,27,0,11984,13836,0,0,cached,inverter-from-opposite,1,0,1,0,A2O1A1Ixp33_ASAP7_75t_L,?,14036>14016>14003>13994>13987>13983>13981>13970>13963>13953>13947>13939>13933>13922>13917>13909>13898>13891>13880>13873>13863>13857>13849>13843>13842>13836>11491,12186>12168>12153>12145>12137>12132>12131>12121>12113>12102>12096>12089>12083>12073>12066>12059>12049>12041>12031>12023>12012>12006>11999>11993>11990>11984>9641,0>0>1>0>1>1>0>0>1>1>0>1>0>1>0>1>1>1>0>1>1>0>0>0>0>0>0
benchmarks/or1200.abc.blif,9,co,607,11491,13829,0,27,0,11987,13837,1,0,cached,inverter-from-opposite,1,0,1,0,A2O1A1Ixp33_ASAP7_75t_L,?,14036>14016>14003>13994>13987>13983>13981>13970>13963>13953>13947>13939>13933>13922>13917>13909>13898>13891>13880>13873>13863>13857>13849>13846>13838>13837>11491,12186>12168>12153>12145>12137>12132>12131>12121>12113>12102>12096>12089>12083>12073>12066>12059>12049>12041>12031>12023>12012>12006>11999>11997>11989>11987>9641,0>0>1>0>1>1>0>0>1>1>0>1>0>1>0>1>1>1>0>1>1>0>0>1>1>1>0
benchmarks/or1200.abc.blif,11,co,642,11491,13829,0,5,0,11988,13839,1,0,cached,inverter-from-opposite,1,0,1,0,A2O1A1Ixp33_ASAP7_75t_L,?,14468>14463>14455>13839>11491,12618>12611>12608>11988>9641,0>1>1>1>0
benchmarks/syn2.abc.blif,2,co,632,18002,18467,1,20,1,14992,18467,1,1,inverter-from-opposite,direct-cut,0,1,0,0,?,NOR2xp33_ASAP7_75t_L,26232>22081>19442>19338>19245>19244>18869>18868>18863>18853>18847>18846>18837>18796>18792>18724>18520>18513>18467>18002,22886>18735>15918>15629>15481>15480>15450>15446>15444>15434>15429>15428>15417>15372>15369>15305>15101>15094>14992>14582,0>0>1>1>0>0>1>1>0>0>1>0>0>0>0>1>0>1>1>1
benchmarks/syn2.abc.blif,4,co,632,18002,18467,1,20,0,14982,18448,1,0,inverter-from-opposite,cached,0,1,0,1,?,NOR2xp33_ASAP7_75t_L,26232>22081>19442>19338>19245>19244>18869>18868>18863>18853>18847>18846>18837>18796>18792>18724>18640>18630>18448>18002,22886>18735>15918>15629>15481>15480>15450>15446>15444>15434>15429>15428>15417>15372>15369>15305>15221>15149>14982>14582,0>0>1>1>0>0>1>1>0>0>1>0>0>0>0>1>0>1>1>1
benchmarks/syn2.abc.blif,6,co,632,18002,18467,1,21,0,15295,18650,0,0,inverter-from-opposite,cached,0,1,0,1,?,NOR2xp33_ASAP7_75t_L,26232>22081>19442>19338>19245>19244>18869>18868>18863>18853>18847>18846>18837>18796>18792>18724>18723>18659>18651>18650>18002,22886>18735>15918>15629>15481>15480>15450>15446>15444>15434>15429>15428>15417>15372>15369>15305>15304>15299>15296>15295>14582,0>0>1>1>0>0>1>1>0>0>1>0>0>0>0>1>0>1>0>0>1
benchmarks/syn2.abc.blif,8,co,632,18002,18467,1,20,0,15039,18510,0,0,inverter-from-opposite,cached,0,1,0,1,?,NOR2xp33_ASAP7_75t_L,26232>22081>19442>19338>19245>19244>18869>18868>18863>18853>18847>18846>18837>18796>18792>18760>18751>18720>18510>18002,22886>18735>15918>15629>15481>15480>15450>15446>15444>15434>15429>15428>15417>15372>15369>15341>15332>15266>15039>14582,0>0>1>1>0>0>1>1>0>0>1>0>0>0>0>1>1>0>0>1
benchmarks/syn2.abc.blif,10,co,632,18002,18467,1,20,0,15264,18718,0,0,inverter-from-opposite,cached,0,1,0,1,?,NOR2xp33_ASAP7_75t_L,26232>22081>19442>19338>19245>19244>18869>18868>18863>18853>18847>18846>18837>18796>18792>18760>18751>18720>18718>18002,22886>18735>15918>15629>15481>15480>15450>15446>15444>15434>15429>15428>15417>15372>15369>15341>15332>15266>15264>14582,0>0>1>1>0>0>1>1>0>0>1>0>0>0>0>1>1>0>0>1
benchmarks/syn2.abc.blif,12,co,632,18002,18467,1,20,0,15199,18534,1,0,inverter-from-opposite,cached,0,1,0,1,?,NOR2xp33_ASAP7_75t_L,26232>22081>19442>19338>19245>19244>18869>18868>18863>18853>18847>18846>18837>18796>18792>18787>18777>18769>18534>18002,22886>18735>15918>15629>15481>15480>15450>15446>15444>15434>15429>15428>15417>15372>15369>15368>15358>15356>15199>14582,0>0>1>1>0>0>1>1>0>0>1>0>0>0>0>0>1>0>1>1
