benchmark,index,co_kind,co_index,parent_node,parent_aig_id,parent_phase,parent_is_downstream,parent_gate,leaf_index,leaf_aig_id,leaf_requested_phase,leaf_inverted_pin,parent_cut_leaves,u_phase_best,path_aigs,path_nodes,path_phases
benchmarks/ode.abc.blif,1,co,171,2432,5237,0,0,OAI21xp33_ASAP7_75t_L,1,5219,1,0,3,4,13061>8729>5612>5379>5367>5261>5238>5237,10259>5927>2810>2574>2540>2464>2436>2432,0>0>0>1>0>1>0>0
benchmarks/ode.abc.blif,3,co,171,2459,5259,0,0,OAI21xp33_ASAP7_75t_L,1,5219,1,0,3,5,13061>8729>5612>5379>5367>5261>5260>5259,10259>5927>2810>2574>2540>2464>2463>2459,0>0>0>1>0>1>0>0
benchmarks/ode.abc.blif,5,co,171,2425,5227,0,0,OAI211xp5_ASAP7_75t_L,2,5219,1,0,4,11,13061>8729>5612>5379>5367>5365>5283>5228>5227,10259>5927>2810>2574>2540>2538>2484>2426>2425,0>0>0>1>0>1>0>0>0
benchmarks/ode.abc.blif,7,co,171,2427,5229,0,1,OAI211xp5_ASAP7_75t_L,2,5219,1,0,4,10,13061>8729>5612>5379>5367>5365>5283>5231>5229,10259>5927>2810>2574>2540>2538>2484>2429>2427,0>0>0>1>0>1>0>0>0
benchmarks/ode.abc.blif,9,co,171,2438,5243,0,0,OAI21xp33_ASAP7_75t_L,1,5219,1,0,3,4,13061>8729>5612>5379>5367>5365>5323>5244>5243,10259>5927>2810>2574>2540>2538>2513>2442>2438,0>0>0>1>0>1>0>0>0
benchmarks/ode.abc.blif,11,co,171,2422,5224,1,0,NOR2xp33_ASAP7_75t_L,0,5219,1,0,2,2,13061>8729>5612>5379>5367>5365>5323>5250>5224,10259>5927>2810>2574>2540>2538>2513>2448>2422,0>0>0>1>0>1>0>0>1
benchmarks/ode.abc.blif,13,co,171,2439,5239,0,0,OAI21xp33_ASAP7_75t_L,1,5219,1,0,3,5,13061>8729>5612>5379>5274>5254>5252>5251>5244>5239,10259>5927>2810>2574>2565>2452>2450>2449>2442>2439,0>0>0>1>1>1>0>1>1>0
benchmarks/ode.abc.blif,15,co,171,2446,5246,0,0,OAI21xp33_ASAP7_75t_L,1,5219,1,0,3,4,13061>8729>5612>5379>5274>5270>5267>5250>5246,10259>5927>2810>2574>2565>2493>2453>2448>2446,0>0>0>1>1>1>0>1>0
benchmarks/ode.abc.blif,17,co,171,2460,5255,0,0,OAI21xp33_ASAP7_75t_L,1,5219,1,0,3,4,13061>8729>5612>5379>5377>5326>5261>5260>5255,10259>5927>2810>2574>2572>2531>2464>2463>2460,0>0>0>1>1>1>0>1>0
benchmarks/or1200.abc.blif,2,co,607,11983,13829,1,1,NOR2xp33_ASAP7_75t_L,0,11491,0,1,2,1,14036>14016>14003>13994>13987>13983>13981>13970>13963>13953>13947>13939>13933>13922>13917>13909>13898>13891>13880>13873>13863>13857>13849>13843>13829,12186>12168>12153>12145>12137>12132>12131>12121>12113>12102>12096>12089>12083>12073>12066>12059>12049>12041>12031>12023>12012>12006>11999>11993>11983,0>0>1>0>1>1>0>0>1>1>0>1>0>1>0>1>1>1>0>1>1>0>0>0>1
benchmarks/or1200.abc.blif,4,co,607,11982,13833,0,0,NAND2xp33_ASAP7_75t_L,0,11491,0,1,2,1,14036>14016>14003>13994>13987>13983>13981>13970>13963>13953>13947>13939>13933>13922>13917>13909>13898>13891>13880>13873>13863>13857>13849>13843>13842>13833,12186>12168>12153>12145>12137>12132>12131>12121>12113>12102>12096>12089>12083>12073>12066>12059>12049>12041>12031>12023>12012>12006>11999>11993>11990>11982,0>0>1>0>1>1>0>0>1>1>0>1>0>1>0>1>1>1>0>1>1>0>0>0>0>0
benchmarks/or1200.abc.blif,6,co,607,11984,13836,0,0,A2O1A1Ixp33_ASAP7_75t_L,3,11491,0,1,4,11,14036>14016>14003>13994>13987>13983>13981>13970>13963>13953>13947>13939>13933>13922>13917>13909>13898>13891>13880>13873>13863>13857>13849>13843>13842>13836,12186>12168>12153>12145>12137>12132>12131>12121>12113>12102>12096>12089>12083>12073>12066>12059>12049>12041>12031>12023>12012>12006>11999>11993>11990>11984,0>0>1>0>1>1>0>0>1>1>0>1>0>1>0>1>1>1>0>1>1>0>0>0>0>0
benchmarks/or1200.abc.blif,8,co,607,11987,13837,1,0,A2O1A1Ixp33_ASAP7_75t_L,2,11491,0,1,4,13,14036>14016>14003>13994>13987>13983>13981>13970>13963>13953>13947>13939>13933>13922>13917>13909>13898>13891>13880>13873>13863>13857>13849>13846>13838>13837,12186>12168>12153>12145>12137>12132>12131>12121>12113>12102>12096>12089>12083>12073>12066>12059>12049>12041>12031>12023>12012>12006>11999>11997>11989>11987,0>0>1>0>1>1>0>0>1>1>0>1>0>1>0>1>1>1>0>1>1>0>0>1>1>1
benchmarks/or1200.abc.blif,10,co,642,11988,13839,1,0,O2A1O1Ixp33_ASAP7_75t_L,0,11491,0,1,4,9,14468>14463>14455>13839,12618>12611>12608>11988,0>1>1>1
benchmarks/syn2.abc.blif,1,co,632,14992,18467,1,1,AOI32xp33_ASAP7_75t_L,1,18002,1,0,5,8,26232>22081>19442>19338>19245>19244>18869>18868>18863>18853>18847>18846>18837>18796>18792>18724>18520>18513>18467,22886>18735>15918>15629>15481>15480>15450>15446>15444>15434>15429>15428>15417>15372>15369>15305>15101>15094>14992,0>0>1>1>0>0>1>1>0>0>1>0>0>0>0>1>0>1>1
benchmarks/syn2.abc.blif,3,co,632,14982,18448,1,0,AND4x1_ASAP7_75t_L,1,18002,1,0,4,0,26232>22081>19442>19338>19245>19244>18869>18868>18863>18853>18847>18846>18837>18796>18792>18724>18640>18630>18448,22886>18735>15918>15629>15481>15480>15450>15446>15444>15434>15429>15428>15417>15372>15369>15305>15221>15149>14982,0>0>1>1>0>0>1>1>0>0>1>0>0>0>0>1>0>1>1
benchmarks/syn2.abc.blif,5,co,632,15295,18650,0,0,NAND4xp25_ASAP7_75t_L,2,18002,1,0,4,0,26232>22081>19442>19338>19245>19244>18869>18868>18863>18853>18847>18846>18837>18796>18792>18724>18723>18659>18651>18650,22886>18735>15918>15629>15481>15480>15450>15446>15444>15434>15429>15428>15417>15372>15369>15305>15304>15299>15296>15295,0>0>1>1>0>0>1>1>0>0>1>0>0>0>0>1>0>1>0>0
benchmarks/syn2.abc.blif,7,co,632,15039,18510,0,0,NAND5xp2_ASAP7_75t_L,2,18002,1,0,5,0,26232>22081>19442>19338>19245>19244>18869>18868>18863>18853>18847>18846>18837>18796>18792>18760>18751>18720>18510,22886>18735>15918>15629>15481>15480>15450>15446>15444>15434>15429>15428>15417>15372>15369>15341>15332>15266>15039,0>0>1>1>0>0>1>1>0>0>1>0>0>0>0>1>1>0>0
benchmarks/syn2.abc.blif,9,co,632,15264,18718,0,0,NAND5xp2_ASAP7_75t_L,2,18002,1,0,5,0,26232>22081>19442>19338>19245>19244>18869>18868>18863>18853>18847>18846>18837>18796>18792>18760>18751>18720>18718,22886>18735>15918>15629>15481>15480>15450>15446>15444>15434>15429>15428>15417>15372>15369>15341>15332>15266>15264,0>0>1>1>0>0>1>1>0>0>1>0>0>0>0>1>1>0>0
benchmarks/syn2.abc.blif,11,co,632,15199,18534,1,0,AOI31xp33_ASAP7_75t_L,1,18002,1,0,4,0,26232>22081>19442>19338>19245>19244>18869>18868>18863>18853>18847>18846>18837>18796>18792>18787>18777>18769>18534,22886>18735>15918>15629>15481>15480>15450>15446>15444>15434>15429>15428>15417>15372>15369>15368>15358>15356>15199,0>0>1>1>0>0>1>1>0>0>1>0>0>0>0>0>1>0>1
