benchmark,index,parent_aig,child_aig,target_parent_phase,target_child_phase,mapper_mode,phase,cut_ordinal,action,eligible,override,accepted_before,child_leaf_index,child_requested_phase,gate,best_gate,arrival,best_arrival,arrival_delta,area_flow,best_area_flow,area_premium,area_ratio,arrival_window,area_premium_window,area_ratio_window
benchmarks/or1200.abc.blif,12,13829,11491,1,0,2,0,2,blocked-parent-phase,0,0,1,2,0,AO21x2_ASAP7_75t_L,NAND2xp33_ASAP7_75t_L,72.480,74.800,-2.320,1.630,1.630,0.000,1.000,0.300,0.800,2.000
benchmarks/or1200.abc.blif,13,13829,11491,1,0,2,1,0,override,1,1,0,0,0,NOR2xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,68.820,68.820,0.000,0.930,0.930,0.000,1.000,0.300,0.800,2.000
benchmarks/or1200.abc.blif,15,13829,11491,1,0,3,1,0,override,1,1,0,0,0,NOR2xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,68.820,68.820,0.000,0.930,0.930,0.000,1.000,0.300,0.800,2.000
benchmarks/or1200.abc.blif,17,13829,11491,1,0,3,1,2,blocked-window,0,0,0,2,0,AOI21xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,69.580,68.820,0.760,1.170,0.930,0.240,1.258,0.300,0.800,2.000
benchmarks/syn2.abc.blif,5,18467,18002,1,1,0,1,7,blocked-mode,0,0,1,1,1,AOI31xp33_ASAP7_75t_L,OA21x2_ASAP7_75t_L,41.090,44.390,-3.300,6.170,7.321,-1.151,0.843,0.300,0.800,2.000
benchmarks/syn2.abc.blif,8,18467,18002,1,1,1,1,7,blocked-mode,0,0,1,1,1,AOI31xp33_ASAP7_75t_L,AOI31xp33_ASAP7_75t_L,40.280,40.280,0.000,4.216,6.170,-1.955,0.683,0.300,0.800,2.000
benchmarks/syn2.abc.blif,9,18467,18002,1,1,1,1,12,blocked-mode,0,0,1,1,1,AOI32xp33_ASAP7_75t_L,AOI31xp33_ASAP7_75t_L,41.640,40.280,1.360,3.872,4.216,-0.344,0.918,0.300,0.800,2.000
benchmarks/syn2.abc.blif,12,18467,18002,1,1,2,1,12,override,1,1,0,1,1,AOI32xp33_ASAP7_75t_L,AOI32xp33_ASAP7_75t_L,41.640,41.640,0.000,1.630,1.630,0.000,1.000,0.300,0.800,2.000
benchmarks/syn2.abc.blif,21,18467,18002,1,1,3,0,12,blocked-parent-phase,0,0,0,1,1,AO32x2_ASAP7_75t_L,A2O1A1Ixp33_ASAP7_75t_L,44.750,47.520,-2.770,2.100,1.170,0.930,1.795,0.300,0.800,2.000
benchmarks/syn2.abc.blif,24,18467,18002,1,1,3,1,12,override,1,1,0,1,1,AOI32xp33_ASAP7_75t_L,AOI32xp33_ASAP7_75t_L,41.640,41.640,0.000,1.630,1.630,0.000,1.000,0.300,0.800,2.000
