benchmark,index,target_aig,target_phase,mapper_mode,phase,cut_ordinal,action,eligible,override,accepted_before,exact_mode,best_area_zero,relaxed_window_used,gate,best_gate,arrival,best_arrival,arrival_delta,area_flow,best_area_flow,area_premium,area_ratio,candidate_fanout_limit,best_fanout_limit,fanout_limit_improved,candidate_cut_leaf_load_avg,best_cut_leaf_load_avg,candidate_load_drive_ratio,best_load_drive_ratio,load_drive_improved,load_drive_material,material_drive,arrival_window,area_premium_window,exact_area_premium_window,area_ratio_window,load_drive_ratio_min_gain,load_drive_ratio_material_gain
benchmarks/ode.abc.blif,8,5219,1,1,1,4,blocked-drive,0,0,1,0,0,0,O2A1O1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,162.400,162.400,0.000,69.111,1022.970,-953.858,0.068,1,1,0,3.250,3.250,3.250,3.250,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/ode.abc.blif,18,5219,1,2,1,4,blocked-drive,0,0,0,1,1,1,O2A1O1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,162.370,162.370,0.000,0.000,0.000,0.000,34028234663852885981170418348451692544.000,1,1,0,3.250,3.250,3.250,3.250,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/ode.abc.blif,28,5219,1,3,1,4,blocked-drive,0,0,0,1,1,1,O2A1O1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,162.370,162.370,0.000,0.000,0.000,0.000,34028234663852885981170418348451692544.000,1,1,0,3.250,3.250,3.250,3.250,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,1,11491,0,0,0,0,blocked-mode,0,0,1,0,0,0,NAND2xp33_ASAP7_75t_L,?,44.170,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,5.815,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,0.000,5,0,1,1.000,34028234663852885981170418348451692544.000,0.200,34028234663852885981170418348451692544.000,0,0,1,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,2,11491,0,0,0,2,blocked-mode,0,0,1,0,0,0,OAI21xp33_ASAP7_75t_L,NAND2xp33_ASAP7_75t_L,39.100,44.170,-5.070,5.129,5.815,-0.685,0.882,2,5,0,39.000,1.000,19.500,0.200,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,3,11491,0,0,0,6,blocked-mode,0,0,1,0,0,0,A2O1A1Ixp33_ASAP7_75t_L,OAI21xp33_ASAP7_75t_L,37.930,39.100,-1.170,5.494,5.129,0.365,1.071,1,2,0,3.250,39.000,3.250,19.500,1,1,1,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,6,11491,0,1,0,0,already-selected,1,0,1,0,0,0,NAND2xp33_ASAP7_75t_L,A2O1A1Ixp33_ASAP7_75t_L,64.320,66.410,-2.090,4.017,5.494,-1.477,0.731,5,1,1,1.000,3.250,0.200,3.250,1,1,1,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,7,11491,0,1,0,1,blocked-drive,0,0,0,0,0,0,OAI21xp33_ASAP7_75t_L,NAND2xp33_ASAP7_75t_L,59.030,64.320,-5.290,4.019,4.017,0.001,1.000,2,5,0,2.333,1.000,1.167,0.200,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,8,11491,0,1,0,2,blocked-drive,0,0,1,0,0,0,OAI21xp33_ASAP7_75t_L,NAND2xp33_ASAP7_75t_L,64.880,64.320,0.560,3.135,4.017,-0.882,0.780,2,5,0,39.000,1.000,19.500,0.200,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,9,11491,0,1,0,4,blocked-window,0,0,1,0,0,0,OAI31xp33_ASAP7_75t_L,OAI21xp33_ASAP7_75t_L,66.480,64.880,1.600,2.919,3.135,-0.217,0.931,1,2,0,44.750,39.000,44.750,19.500,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,10,11491,0,1,0,5,blocked-window,0,0,0,0,0,0,OAI31xp33_ASAP7_75t_L,OAI31xp33_ASAP7_75t_L,60.630,66.480,-5.850,4.285,2.919,1.366,1.468,1,1,0,8.750,44.750,8.750,44.750,1,1,1,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,11,11491,0,1,0,6,already-selected,1,0,1,0,0,0,A2O1A1Ixp33_ASAP7_75t_L,OAI31xp33_ASAP7_75t_L,66.410,66.480,-0.070,2.558,2.919,-0.361,0.876,1,1,0,3.250,44.750,3.250,44.750,1,1,1,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,12,11491,0,1,0,8,blocked-drive,0,0,0,0,0,0,OAI22xp33_ASAP7_75t_L,A2O1A1Ixp33_ASAP7_75t_L,57.330,66.410,-9.080,3.127,2.558,0.569,1.222,1,1,0,30.500,3.250,30.500,3.250,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,13,11491,0,1,0,9,blocked-drive,0,0,1,0,0,0,A2O1A1Ixp33_ASAP7_75t_L,A2O1A1Ixp33_ASAP7_75t_L,60.560,66.410,-5.850,1.919,2.558,-0.639,0.750,1,1,0,17.250,3.250,17.250,3.250,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,14,11491,0,1,0,12,blocked-drive,0,0,0,0,0,0,OAI32xp33_ASAP7_75t_L,A2O1A1Ixp33_ASAP7_75t_L,54.480,60.560,-6.080,2.910,1.919,0.991,1.517,1,1,0,36.800,17.250,36.800,17.250,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,15,11491,0,1,0,14,blocked-window,0,0,0,0,0,0,OAI32xp33_ASAP7_75t_L,A2O1A1Ixp33_ASAP7_75t_L,58.980,60.560,-1.580,3.393,1.919,1.474,1.768,1,1,0,30.000,17.250,30.000,17.250,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,27,11491,0,2,0,1,override-relaxed,1,1,0,1,1,1,OAI21xp33_ASAP7_75t_L,A2O1A1Ixp33_ASAP7_75t_L,58.990,60.520,-1.530,2.100,0.000,2.100,34028234663852885981170418348451692544.000,2,1,1,2.333,17.250,1.167,17.250,1,1,1,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,28,11491,0,2,0,5,blocked-window,0,0,0,1,0,0,OAI31xp33_ASAP7_75t_L,OAI21xp33_ASAP7_75t_L,60.590,58.990,1.600,2.330,2.100,0.230,1.110,1,2,0,8.750,2.333,8.750,1.167,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,29,11491,0,2,0,8,blocked-drive,0,0,0,1,0,0,OAI22xp33_ASAP7_75t_L,OAI21xp33_ASAP7_75t_L,57.330,58.990,-1.660,2.330,2.100,0.230,1.110,1,2,0,30.500,2.333,30.500,1.167,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,30,11491,0,2,0,9,sticky-block-replacement,0,0,1,1,0,0,A2O1A1Ixp33_ASAP7_75t_L,OAI21xp33_ASAP7_75t_L,60.520,58.990,1.530,0.000,2.100,-2.100,0.000,1,2,0,17.250,2.333,17.250,1.167,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,31,11491,0,2,0,12,blocked-drive,0,0,0,1,0,0,OAI32xp33_ASAP7_75t_L,OAI21xp33_ASAP7_75t_L,53.190,58.990,-5.800,2.560,2.100,0.460,1.219,1,2,0,36.800,2.333,36.800,1.167,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,32,11491,0,2,0,14,blocked-drive,0,0,0,1,0,0,OAI32xp33_ASAP7_75t_L,OAI21xp33_ASAP7_75t_L,58.980,58.990,-0.010,2.560,2.100,0.460,1.219,1,2,0,30.000,2.333,30.000,1.167,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,44,11491,0,3,0,1,blocked-drive,0,0,0,1,0,0,OAI21xp33_ASAP7_75t_L,OAI21xp33_ASAP7_75t_L,59.860,59.860,0.000,3.030,3.030,0.000,1.000,2,2,0,2.333,2.333,1.167,1.167,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,45,11491,0,3,0,8,sticky-block-replacement,0,0,1,1,0,0,OAI22xp33_ASAP7_75t_L,OAI21xp33_ASAP7_75t_L,58.250,59.860,-1.610,2.330,3.030,-0.700,0.769,1,2,0,30.500,2.333,30.500,1.167,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/or1200.abc.blif,46,11491,0,3,0,14,sticky-block-replacement,0,0,1,1,0,0,OAI32xp33_ASAP7_75t_L,OAI21xp33_ASAP7_75t_L,60.020,59.860,0.160,2.560,3.030,-0.470,0.845,1,2,0,30.000,2.333,30.000,1.167,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,2,18002,1,0,1,0,blocked-mode,0,0,1,0,0,0,NOR2xp33_ASAP7_75t_L,?,24.300,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,1.109,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,0.000,5,0,1,13.000,34028234663852885981170418348451692544.000,2.600,34028234663852885981170418348451692544.000,0,0,1,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,18,18002,1,1,1,0,blocked-drive,0,0,1,0,0,0,NOR2xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,24.300,24.300,0.000,1.075,1.109,-0.034,0.969,5,5,0,13.000,13.000,2.600,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,19,18002,1,1,1,1,blocked-window,0,0,0,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,0.820,1.451,1.075,0.376,1.350,2,5,0,20.333,13.000,10.167,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,20,18002,1,1,1,2,blocked-window,0,0,0,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,0.820,1.540,1.075,0.465,1.432,2,5,0,20.000,13.000,10.000,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,21,18002,1,1,1,3,blocked-window,0,0,0,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,0.820,1.787,1.075,0.712,1.662,2,5,0,19.333,13.000,9.667,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,22,18002,1,1,1,4,blocked-window,0,0,0,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,0.820,1.478,1.075,0.403,1.374,2,5,0,21.000,13.000,10.500,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,23,18002,1,1,1,5,blocked-window,0,0,0,0,0,0,NOR4xp25_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.210,24.300,0.910,2.241,1.075,1.166,2.085,1,5,0,23.000,13.000,23.000,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,24,18002,1,1,1,6,blocked-window,0,0,0,0,0,0,NOR4xp25_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.210,24.300,0.910,2.179,1.075,1.104,2.027,1,5,0,23.750,13.000,23.750,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,25,18002,1,1,1,7,blocked-window,0,0,0,0,0,0,NOR4xp25_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,26.200,24.300,1.900,1.460,1.075,0.385,1.358,1,5,0,35.250,13.000,35.250,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,26,18002,1,1,1,8,blocked-window,0,0,0,0,0,0,NOR4xp25_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,26.200,24.300,1.900,1.485,1.075,0.410,1.382,1,5,0,36.500,13.000,36.500,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,27,18002,1,1,1,9,blocked-window,0,0,0,0,0,0,NOR4xp25_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.210,24.300,0.910,1.844,1.075,0.769,1.715,1,5,0,24.500,13.000,24.500,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,28,18002,1,1,1,10,blocked-window,0,0,0,0,0,0,NOR4xp25_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.210,24.300,0.910,1.906,1.075,0.831,1.772,1,5,0,23.750,13.000,23.750,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,29,18002,1,1,1,11,blocked-window,0,0,0,0,0,0,NOR5xp2_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,26.260,24.300,1.960,1.826,1.075,0.751,1.698,1,5,0,35.200,13.000,35.200,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,30,18002,1,1,1,12,blocked-window,0,0,0,0,0,0,NOR5xp2_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,26.260,24.300,1.960,2.161,1.075,1.086,2.010,1,5,0,34.600,13.000,34.600,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,31,18002,1,1,1,13,blocked-window,0,0,0,0,0,0,NOR5xp2_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,26.260,24.300,1.960,1.878,1.075,0.803,1.747,1,5,0,36.600,13.000,36.600,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,32,18002,1,1,1,14,blocked-window,0,0,0,0,0,0,NOR5xp2_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,26.260,24.300,1.960,1.940,1.075,0.865,1.804,1,5,0,36.000,13.000,36.000,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,38,18002,1,2,1,0,blocked-drive,0,0,0,1,0,0,NOR2xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,24.300,24.300,0.000,0.930,0.930,0.000,1.000,5,5,0,13.000,13.000,2.600,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,39,18002,1,2,1,1,blocked-window,0,0,0,1,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,0.820,1.170,0.930,0.240,1.258,2,5,0,20.333,13.000,10.167,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,40,18002,1,2,1,2,blocked-window,0,0,0,1,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,0.820,1.170,0.930,0.240,1.258,2,5,0,20.000,13.000,10.000,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,41,18002,1,2,1,3,blocked-window,0,0,0,1,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,0.820,2.100,0.930,1.170,2.258,2,5,0,19.333,13.000,9.667,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,42,18002,1,2,1,4,blocked-window,0,0,0,1,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,0.820,2.100,0.930,1.170,2.258,2,5,0,21.000,13.000,10.500,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,48,18002,1,3,1,0,blocked-drive,0,0,0,1,0,0,NOR2xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,24.590,24.590,0.000,0.930,0.930,0.000,1.000,5,5,0,13.000,13.000,2.600,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,49,18002,1,3,1,1,blocked-window,0,0,0,1,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.980,24.590,1.390,1.170,0.930,0.240,1.258,2,5,0,20.333,13.000,10.167,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,50,18002,1,3,1,2,blocked-drive,0,0,0,1,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.160,24.590,0.570,1.170,0.930,0.240,1.258,2,5,0,20.000,13.000,10.000,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,51,18002,1,3,1,3,blocked-window,0,0,0,1,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.980,24.590,1.390,2.100,0.930,1.170,2.258,2,5,0,19.333,13.000,9.667,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/syn2.abc.blif,52,18002,1,3,1,4,blocked-drive,0,0,0,1,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.590,0.530,2.100,0.930,1.170,2.258,2,5,0,21.000,13.000,10.500,2.600,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
