benchmark,index,parent_aig,child_aig,mapper_mode,phase,cut_ordinal,reason,viable,selected_update,node,level,refs,gate,leaves,u_phase_best,fanout_limit,arrival,required,slack,area_flow,best_gate,best_arrival,best_area_flow,child_leaf_index,child_requested_phase,child_inverted_pin,leaf0_aig_id,leaf0_phase,leaf1_aig_id,leaf1_phase,leaf2_aig_id,leaf2_phase,leaf3_aig_id,leaf3_phase,leaf4_aig_id,leaf4_phase,leaf5_aig_id,leaf5_phase
benchmarks/i10.aig,19,861,855,0,0,18,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,4,-1,-1,2,-1,624,-1,626,-1,799,-1,855,-1,-1,-1
benchmarks/i10.aig,20,861,855,0,0,19,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,797,-1,798,-1,850,-1,809,-1,854,-1,-1,-1
benchmarks/i10.aig,21,861,855,0,0,20,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,4,-1,-1,2,-1,627,-1,797,-1,798,-1,855,-1,-1,-1
benchmarks/i10.aig,22,861,855,0,0,21,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,4,-1,-1,2,-1,627,-1,751,-1,795,-1,855,-1,-1,-1
benchmarks/i10.aig,23,861,855,0,0,22,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,4,-1,-1,2,-1,627,-1,746,-1,749,-1,855,-1,-1,-1
benchmarks/i10.aig,24,861,855,0,0,23,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,751,-1,795,-1,850,-1,809,-1,854,-1,-1,-1
benchmarks/i10.aig,25,861,855,0,0,24,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,746,-1,749,-1,850,-1,809,-1,854,-1,-1,-1
benchmarks/i10.aig,26,861,855,0,0,25,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,736,-1,739,-1,745,-1,795,-1,856,-1,-1,-1
benchmarks/i10.aig,27,861,855,0,0,26,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,734,-1,735,-1,739,-1,745,-1,856,-1,-1,-1
benchmarks/i10.aig,28,861,855,0,0,27,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,729,-1,730,-1,735,-1,746,-1,856,-1,-1,-1
benchmarks/i10.aig,29,861,855,0,0,28,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,710,-1,738,-1,745,-1,749,-1,856,-1,-1,-1
benchmarks/i10.aig,30,861,855,0,0,29,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,699,-1,709,-1,745,-1,749,-1,856,-1,-1,-1
benchmarks/i10.aig,31,861,855,0,0,30,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,732,-1,733,-1,735,-1,746,-1,856,-1,-1,-1
benchmarks/i10.aig,32,861,855,0,0,31,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,84,-1,208,-1,734,-1,746,-1,856,-1,-1,-1
benchmarks/i10.aig,33,861,855,0,0,32,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,737,-1,736,-1,739,-1,745,-1,856,-1,-1,-1
benchmarks/i10.aig,34,861,855,0,0,33,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,710,-1,727,-1,735,-1,746,-1,856,-1,-1,-1
benchmarks/i10.aig,35,861,855,0,0,34,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,739,-1,743,-1,744,-1,749,-1,856,-1,-1,-1
benchmarks/i10.aig,36,861,855,0,0,35,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,4,-1,-1,739,-1,745,-1,749,-1,850,-1,855,-1,-1,-1
benchmarks/i10.aig,37,861,855,0,0,36,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,649,-1,799,-1,850,-1,809,-1,853,-1,-1,-1
benchmarks/i10.aig,38,861,855,0,0,37,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,4,-1,-1,736,-1,746,-1,795,-1,850,-1,855,-1,-1,-1
benchmarks/i10.aig,39,861,855,0,1,0,accepted-best,1,1,615,20,2,NOR2xp33_ASAP7_75t_L,2,1,5,86.320,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,3.120,?,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,-1,-1,-1,799,0,856,1,-1,-1,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,40,861,855,0,1,1,no-supers,0,0,615,20,2,?,3,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,NOR2xp33_ASAP7_75t_L,86.320,3.120,-1,-1,-1,746,-1,749,-1,856,-1,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,41,861,855,0,1,2,no-super-best,0,0,615,20,2,?,3,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,NOR2xp33_ASAP7_75t_L,86.320,3.120,2,-1,-1,799,-1,850,-1,855,-1,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,42,861,855,0,1,3,no-super-best,0,0,615,20,2,?,3,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,NOR2xp33_ASAP7_75t_L,86.320,3.120,-1,-1,-1,797,-1,798,-1,856,-1,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,43,861,855,0,1,4,accepted-best,1,1,615,20,2,AOI21xp33_ASAP7_75t_L,3,3,2,86.110,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,16.917,NOR2xp33_ASAP7_75t_L,86.320,3.120,-1,-1,-1,751,0,795,0,856,1,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,44,861,855,0,1,5,no-supers,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI21xp33_ASAP7_75t_L,86.110,16.917,-1,-1,-1,737,-1,736,-1,746,-1,856,-1,-1,-1,-1,-1
benchmarks/i10.aig,45,861,855,0,1,6,no-supers,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI21xp33_ASAP7_75t_L,86.110,16.917,-1,-1,-1,734,-1,735,-1,746,-1,856,-1,-1,-1,-1,-1
benchmarks/i10.aig,46,861,855,0,1,7,accepted-best,1,1,615,20,2,AOI211xp5_ASAP7_75t_L,4,12,1,83.960,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,67.220,AOI21xp33_ASAP7_75t_L,86.110,16.917,3,0,1,797,1,798,1,850,0,855,0,-1,-1,-1,-1
benchmarks/i10.aig,47,861,855,0,1,8,no-super-best,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI211xp5_ASAP7_75t_L,83.960,67.220,3,-1,-1,2,-1,627,-1,799,-1,855,-1,-1,-1,-1,-1
benchmarks/i10.aig,48,861,855,0,1,9,no-supers,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI211xp5_ASAP7_75t_L,83.960,67.220,-1,-1,-1,739,-1,745,-1,749,-1,856,-1,-1,-1,-1,-1
benchmarks/i10.aig,49,861,855,0,1,10,no-super-best,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI211xp5_ASAP7_75t_L,83.960,67.220,-1,-1,-1,799,-1,850,-1,809,-1,854,-1,-1,-1,-1,-1
benchmarks/i10.aig,50,861,855,0,1,11,no-supers,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI211xp5_ASAP7_75t_L,83.960,67.220,3,-1,-1,746,-1,749,-1,850,-1,855,-1,-1,-1,-1,-1
benchmarks/i10.aig,51,861,855,0,1,12,accepted-best,1,1,615,20,2,AOI22xp33_ASAP7_75t_L,4,15,1,82.260,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,62.995,AOI211xp5_ASAP7_75t_L,83.960,67.220,3,0,1,751,0,795,0,850,0,855,0,-1,-1,-1,-1
benchmarks/i10.aig,52,861,855,0,1,13,no-super-best,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,736,-1,746,-1,795,-1,856,-1,-1,-1,-1,-1
benchmarks/i10.aig,53,861,855,0,1,14,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,624,-1,629,-1,799,-1,850,-1,854,-1,-1,-1
benchmarks/i10.aig,54,861,855,0,1,15,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,4,-1,-1,737,-1,736,-1,746,-1,850,-1,855,-1,-1,-1
benchmarks/i10.aig,55,861,855,0,1,16,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,2,-1,627,-1,799,-1,809,-1,854,-1,-1,-1
benchmarks/i10.aig,56,861,855,0,1,17,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,4,-1,-1,734,-1,735,-1,746,-1,850,-1,855,-1,-1,-1
benchmarks/i10.aig,57,861,855,0,1,18,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,4,-1,-1,2,-1,624,-1,626,-1,799,-1,855,-1,-1,-1
benchmarks/i10.aig,58,861,855,0,1,19,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,797,-1,798,-1,850,-1,809,-1,854,-1,-1,-1
benchmarks/i10.aig,59,861,855,0,1,20,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,4,-1,-1,2,-1,627,-1,797,-1,798,-1,855,-1,-1,-1
benchmarks/i10.aig,60,861,855,0,1,21,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,4,-1,-1,2,-1,627,-1,751,-1,795,-1,855,-1,-1,-1
benchmarks/i10.aig,61,861,855,0,1,22,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,4,-1,-1,2,-1,627,-1,746,-1,749,-1,855,-1,-1,-1
benchmarks/i10.aig,62,861,855,0,1,23,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,751,-1,795,-1,850,-1,809,-1,854,-1,-1,-1
benchmarks/i10.aig,63,861,855,0,1,24,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,746,-1,749,-1,850,-1,809,-1,854,-1,-1,-1
benchmarks/i10.aig,64,861,855,0,1,25,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,736,-1,739,-1,745,-1,795,-1,856,-1,-1,-1
benchmarks/i10.aig,65,861,855,0,1,26,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,734,-1,735,-1,739,-1,745,-1,856,-1,-1,-1
benchmarks/i10.aig,66,861,855,0,1,27,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,729,-1,730,-1,735,-1,746,-1,856,-1,-1,-1
benchmarks/i10.aig,67,861,855,0,1,28,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,710,-1,738,-1,745,-1,749,-1,856,-1,-1,-1
benchmarks/i10.aig,68,861,855,0,1,29,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,699,-1,709,-1,745,-1,749,-1,856,-1,-1,-1
benchmarks/i10.aig,69,861,855,0,1,30,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,732,-1,733,-1,735,-1,746,-1,856,-1,-1,-1
benchmarks/i10.aig,70,861,855,0,1,31,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,84,-1,208,-1,734,-1,746,-1,856,-1,-1,-1
benchmarks/i10.aig,71,861,855,0,1,32,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,737,-1,736,-1,739,-1,745,-1,856,-1,-1,-1
benchmarks/i10.aig,72,861,855,0,1,33,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,710,-1,727,-1,735,-1,746,-1,856,-1,-1,-1
benchmarks/i10.aig,73,861,855,0,1,34,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,739,-1,743,-1,744,-1,749,-1,856,-1,-1,-1
benchmarks/i10.aig,74,861,855,0,1,35,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,4,-1,-1,739,-1,745,-1,749,-1,850,-1,855,-1,-1,-1
benchmarks/i10.aig,75,861,855,0,1,36,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,-1,-1,-1,649,-1,799,-1,850,-1,809,-1,853,-1,-1,-1
benchmarks/i10.aig,76,861,855,0,1,37,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,AOI22xp33_ASAP7_75t_L,82.260,62.995,4,-1,-1,736,-1,746,-1,795,-1,850,-1,855,-1,-1,-1
benchmarks/i10.aig,77,861,855,1,0,0,violates-required,0,0,615,20,2,NAND2xp33_ASAP7_75t_L,2,2,5,85.730,81.560,-4.170,1.317,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,799,1,856,0,-1,-1,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,78,861,855,1,0,1,no-supers,0,0,615,20,2,?,3,0,-1,34028234663852885981170418348451692544.000,81.560,-34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,746,-1,749,-1,856,-1,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,79,861,855,1,0,2,no-super-best,0,0,615,20,2,?,3,0,-1,34028234663852885981170418348451692544.000,81.560,-34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,2,-1,-1,799,-1,850,-1,855,-1,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,80,861,855,1,0,3,violates-required,0,0,615,20,2,NAND3xp33_ASAP7_75t_L,3,7,2,86.040,81.560,-4.480,4.002,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,797,0,798,0,856,0,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,81,861,855,1,0,4,violates-required,0,0,615,20,2,OAI21xp33_ASAP7_75t_L,3,4,2,85.340,81.560,-3.780,3.818,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,751,1,795,1,856,0,-1,-1,-1,-1,-1,-1
