benchmark,index,child_aig,target_phase,mapper_mode,phase,cut_ordinal,action,eligible,override,accepted_before,gate,best_gate,arrival,best_arrival,arrival_gain,area_flow,best_area_flow,area_premium,area_ratio,min_arrival_gain,area_premium_window,area_ratio_window
benchmarks/ode.abc.blif,28,5219,1,3,1,4,blocked-speed,0,0,0,O2A1O1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,162.370,162.370,0.000,0.000,0.000,0.000,34028234663852885981170418348451692544.000,0.020,1.200,2.000
benchmarks/or1200.abc.blif,4,11491,1,0,1,0,blocked-mode,0,0,1,NOR2xp33_ASAP7_75t_L,?,43.810,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,7.594,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,0.000,0.020,1.200,2.000
benchmarks/or1200.abc.blif,5,11491,1,0,1,2,blocked-mode,0,0,1,AOI21xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,37.560,43.810,6.250,5.125,7.594,-2.469,0.675,0.020,1.200,2.000
benchmarks/or1200.abc.blif,16,11491,1,1,1,0,blocked-mode,0,0,1,NOR2xp33_ASAP7_75t_L,AOI21xp33_ASAP7_75t_L,65.140,59.650,-5.490,3.676,5.125,-1.449,0.717,0.020,1.200,2.000
benchmarks/or1200.abc.blif,17,11491,1,1,1,1,blocked-mode,0,0,0,AOI21xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,65.900,65.140,-0.760,3.969,3.676,0.293,1.080,0.020,1.200,2.000
benchmarks/or1200.abc.blif,18,11491,1,1,1,2,blocked-mode,0,0,1,AOI21xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,59.650,65.140,5.490,2.844,3.676,-0.831,0.774,0.020,1.200,2.000
benchmarks/or1200.abc.blif,19,11491,1,1,1,4,blocked-mode,0,0,1,AOI31xp33_ASAP7_75t_L,AOI21xp33_ASAP7_75t_L,61.480,59.650,-1.830,2.620,2.844,-0.224,0.921,0.020,1.200,2.000
benchmarks/or1200.abc.blif,20,11491,1,1,1,5,blocked-mode,0,0,0,AOI31xp33_ASAP7_75t_L,AOI31xp33_ASAP7_75t_L,67.730,61.480,-6.250,4.396,2.620,1.776,1.678,0.020,1.200,2.000
benchmarks/or1200.abc.blif,21,11491,1,1,1,6,blocked-mode,0,0,1,O2A1O1Ixp33_ASAP7_75t_L,AOI31xp33_ASAP7_75t_L,60.670,61.480,0.810,2.301,2.620,-0.319,0.878,0.020,1.200,2.000
benchmarks/or1200.abc.blif,22,11491,1,1,1,8,blocked-mode,0,0,0,AOI22xp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,58.650,60.670,2.020,3.127,2.301,0.826,1.359,0.020,1.200,2.000
benchmarks/or1200.abc.blif,23,11491,1,1,1,9,blocked-mode,0,0,1,O2A1O1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,66.920,60.670,-6.250,1.869,2.301,-0.433,0.812,0.020,1.200,2.000
benchmarks/or1200.abc.blif,24,11491,1,1,1,12,blocked-mode,0,0,0,AOI32xp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,60.400,66.920,6.520,2.903,1.869,1.034,1.554,0.020,1.200,2.000
benchmarks/or1200.abc.blif,25,11491,1,1,1,14,blocked-mode,0,0,0,AOI32xp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,54.010,66.920,12.910,3.555,1.869,1.686,1.902,0.020,1.200,2.000
benchmarks/or1200.abc.blif,26,11491,1,1,1,18,blocked-mode,0,0,0,A2O1A1O1Ixp25_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,62.170,66.920,4.750,2.413,1.869,0.545,1.292,0.020,1.200,2.000
benchmarks/or1200.abc.blif,33,11491,1,2,1,0,blocked-window,0,0,0,NOR2xp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,65.130,66.910,1.780,2.800,1.400,1.400,2.000,0.020,1.200,2.000
benchmarks/or1200.abc.blif,34,11491,1,2,1,1,override,1,1,0,OA21x2_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,62.350,66.910,4.560,2.560,1.400,1.160,1.829,0.020,1.200,2.000
benchmarks/or1200.abc.blif,35,11491,1,2,1,2,override,1,1,0,AOI21xp33_ASAP7_75t_L,OA21x2_ASAP7_75t_L,59.090,62.350,3.260,3.270,2.560,0.710,1.277,0.020,1.200,2.000
benchmarks/or1200.abc.blif,36,11491,1,2,1,4,blocked-speed,0,0,1,AOI31xp33_ASAP7_75t_L,AOI21xp33_ASAP7_75t_L,60.920,59.090,-1.830,2.570,3.270,-0.700,0.786,0.020,1.200,2.000
benchmarks/or1200.abc.blif,37,11491,1,2,1,5,blocked-speed,0,0,0,AOI31xp33_ASAP7_75t_L,AOI31xp33_ASAP7_75t_L,67.720,60.920,-6.800,3.030,2.570,0.460,1.179,0.020,1.200,2.000
benchmarks/or1200.abc.blif,38,11491,1,2,1,6,already-selected,1,0,1,O2A1O1Ixp33_ASAP7_75t_L,AOI31xp33_ASAP7_75t_L,60.110,60.920,0.810,2.100,2.570,-0.470,0.817,0.020,1.200,2.000
benchmarks/or1200.abc.blif,39,11491,1,2,1,8,blocked-window,0,0,0,AOI22xp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,58.080,60.110,2.030,3.960,2.100,1.860,1.886,0.020,1.200,2.000
benchmarks/or1200.abc.blif,40,11491,1,2,1,9,blocked-speed,0,0,1,O2A1O1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,66.910,60.110,-6.800,1.400,2.100,-0.700,0.667,0.020,1.200,2.000
benchmarks/or1200.abc.blif,41,11491,1,2,1,12,blocked-window,0,0,0,AOI32xp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,59.830,66.910,7.080,3.260,1.400,1.860,2.329,0.020,1.200,2.000
benchmarks/or1200.abc.blif,42,11491,1,2,1,14,blocked-window,0,0,0,AOI32xp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,53.970,66.910,12.940,3.490,1.400,2.090,2.493,0.020,1.200,2.000
benchmarks/or1200.abc.blif,43,11491,1,2,1,18,override,1,1,0,A2O1A1O1Ixp25_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,61.610,66.910,5.300,2.100,1.400,0.700,1.500,0.020,1.200,2.000
benchmarks/syn2.abc.blif,2,18002,1,0,1,0,blocked-mode,0,0,1,NOR2xp33_ASAP7_75t_L,?,24.300,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,1.109,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,0.000,0.020,1.200,2.000
benchmarks/syn2.abc.blif,18,18002,1,1,1,0,blocked-mode,0,0,1,NOR2xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,24.300,24.300,0.000,1.075,1.109,-0.034,0.969,0.020,1.200,2.000
benchmarks/syn2.abc.blif,19,18002,1,1,1,1,blocked-mode,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,-0.820,1.451,1.075,0.376,1.350,0.020,1.200,2.000
benchmarks/syn2.abc.blif,20,18002,1,1,1,2,blocked-mode,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,-0.820,1.540,1.075,0.465,1.432,0.020,1.200,2.000
benchmarks/syn2.abc.blif,21,18002,1,1,1,3,blocked-mode,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,-0.820,1.787,1.075,0.712,1.662,0.020,1.200,2.000
benchmarks/syn2.abc.blif,22,18002,1,1,1,4,blocked-mode,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,-0.820,1.478,1.075,0.403,1.374,0.020,1.200,2.000
benchmarks/syn2.abc.blif,23,18002,1,1,1,5,blocked-mode,0,0,0,NOR4xp25_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.210,24.300,-0.910,2.241,1.075,1.166,2.085,0.020,1.200,2.000
benchmarks/syn2.abc.blif,24,18002,1,1,1,6,blocked-mode,0,0,0,NOR4xp25_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.210,24.300,-0.910,2.179,1.075,1.104,2.027,0.020,1.200,2.000
benchmarks/syn2.abc.blif,25,18002,1,1,1,7,blocked-mode,0,0,0,NOR4xp25_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,26.200,24.300,-1.900,1.460,1.075,0.385,1.358,0.020,1.200,2.000
benchmarks/syn2.abc.blif,26,18002,1,1,1,8,blocked-mode,0,0,0,NOR4xp25_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,26.200,24.300,-1.900,1.485,1.075,0.410,1.382,0.020,1.200,2.000
benchmarks/syn2.abc.blif,27,18002,1,1,1,9,blocked-mode,0,0,0,NOR4xp25_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.210,24.300,-0.910,1.844,1.075,0.769,1.715,0.020,1.200,2.000
benchmarks/syn2.abc.blif,28,18002,1,1,1,10,blocked-mode,0,0,0,NOR4xp25_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.210,24.300,-0.910,1.906,1.075,0.831,1.772,0.020,1.200,2.000
benchmarks/syn2.abc.blif,29,18002,1,1,1,11,blocked-mode,0,0,0,NOR5xp2_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,26.260,24.300,-1.960,1.826,1.075,0.751,1.698,0.020,1.200,2.000
benchmarks/syn2.abc.blif,30,18002,1,1,1,12,blocked-mode,0,0,0,NOR5xp2_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,26.260,24.300,-1.960,2.161,1.075,1.086,2.010,0.020,1.200,2.000
benchmarks/syn2.abc.blif,31,18002,1,1,1,13,blocked-mode,0,0,0,NOR5xp2_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,26.260,24.300,-1.960,1.878,1.075,0.803,1.747,0.020,1.200,2.000
benchmarks/syn2.abc.blif,32,18002,1,1,1,14,blocked-mode,0,0,0,NOR5xp2_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,26.260,24.300,-1.960,1.940,1.075,0.865,1.804,0.020,1.200,2.000
benchmarks/syn2.abc.blif,38,18002,1,2,1,0,blocked-speed,0,0,0,NOR2xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,24.300,24.300,0.000,0.930,0.930,0.000,1.000,0.020,1.200,2.000
benchmarks/syn2.abc.blif,39,18002,1,2,1,1,blocked-speed,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,-0.820,1.170,0.930,0.240,1.258,0.020,1.200,2.000
benchmarks/syn2.abc.blif,40,18002,1,2,1,2,blocked-speed,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,-0.820,1.170,0.930,0.240,1.258,0.020,1.200,2.000
benchmarks/syn2.abc.blif,41,18002,1,2,1,3,blocked-speed,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,-0.820,2.100,0.930,1.170,2.258,0.020,1.200,2.000
benchmarks/syn2.abc.blif,42,18002,1,2,1,4,blocked-speed,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.300,-0.820,2.100,0.930,1.170,2.258,0.020,1.200,2.000
benchmarks/syn2.abc.blif,48,18002,1,3,1,0,blocked-speed,0,0,0,NOR2xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,24.590,24.590,0.000,0.930,0.930,0.000,1.000,0.020,1.200,2.000
benchmarks/syn2.abc.blif,49,18002,1,3,1,1,blocked-speed,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.980,24.590,-1.390,1.170,0.930,0.240,1.258,0.020,1.200,2.000
benchmarks/syn2.abc.blif,50,18002,1,3,1,2,blocked-speed,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.160,24.590,-0.570,1.170,0.930,0.240,1.258,0.020,1.200,2.000
benchmarks/syn2.abc.blif,51,18002,1,3,1,3,blocked-speed,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.980,24.590,-1.390,2.100,0.930,1.170,2.258,0.020,1.200,2.000
benchmarks/syn2.abc.blif,52,18002,1,3,1,4,blocked-speed,0,0,0,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,25.120,24.590,-0.530,2.100,0.930,1.170,2.258,0.020,1.200,2.000
